session_id,timestamp,trial_num,level,block_num,event_type,stim_shapes,stim_positions,grid_correct,grid_total,code_shown,code_entered,code_correct,seq_shown,seq_entered,seq_correct,fatigue_self_report,response_time_ms
20260608_101526,2026-06-08T10:15:54.937786,1,1,1,trial_response,"[('★', 14), ('⬡', 3), ('★', 7)]","[14, 3, 7]",2,3,,,1,,,1,,8773
20260608_101526,2026-06-08T10:16:03.938111,2,1,1,trial_response,"[('▲', 2), ('▲', 5), ('▲', 1)]","[2, 5, 1]",3,3,,,1,,,1,,4179
20260608_101526,2026-06-08T10:16:14.538009,3,1,1,trial_response,"[('■', 11), ('◆', 2), ('★', 15)]","[11, 2, 15]",3,3,,,1,,,1,,5779
20260608_101526,2026-06-08T10:16:27.987645,4,1,1,trial_response,"[('◆', 7), ('◆', 4), ('●', 10)]","[7, 4, 10]",2,3,,,1,,,1,,8630
20260608_101526,2026-06-08T10:16:36.170294,5,1,1,trial_response,"[('⬡', 1), ('⬟', 6), ('⬟', 4)]","[1, 6, 4]",2,3,,,1,,,1,,3363
20260608_101526,2026-06-08T10:16:44.854069,6,1,1,trial_response,"[('●', 1), ('◆', 0), ('★', 8)]","[1, 0, 8]",1,3,,,1,,,1,,3863
20260608_101526,2026-06-08T10:16:55.319368,7,1,1,trial_response,"[('●', 8), ('⬟', 5), ('◆', 6)]","[8, 5, 6]",1,3,,,1,,,1,,5647
20260608_101526,2026-06-08T10:17:06.670678,8,1,1,trial_response,"[('★', 5), ('●', 2), ('■', 12)]","[5, 2, 12]",1,3,,,1,,,1,,6539
20260608_101526,2026-06-08T10:17:17.554176,8,1,1,fatigue_report,,,,,,,,,,,2:Mildly Fatigued,
20260608_101526,2026-06-08T10:17:28.770366,9,1,2,trial_response,"[('⬟', 0), ('▲', 14), ('⬟', 9)]","[0, 14, 9]",3,3,,,1,,,1,,5256
20260608_101526,2026-06-08T10:17:36.336778,10,1,2,trial_response,"[('▲', 15), ('●', 12), ('⬡', 2)]","[15, 12, 2]",0,3,,,1,,,1,,2749
20260608_101526,2026-06-08T10:17:43.803416,11,1,2,trial_response,"[('⬟', 9), ('■', 7), ('▲', 15)]","[9, 7, 15]",0,3,,,1,,,1,,2647
20260608_101526,2026-06-08T10:17:50.686568,12,1,2,trial_response,"[('■', 0), ('●', 9), ('◆', 2)]","[0, 9, 2]",0,3,,,1,,,1,,2064
20260608_101526,2026-06-08T10:18:02.586637,13,1,2,trial_response,"[('●', 0), ('■', 6), ('◆', 15)]","[0, 6, 15]",3,3,,,1,,,1,,7079
20260608_101526,2026-06-08T10:18:13.819991,14,1,2,trial_response,"[('★', 6), ('▲', 12), ('⬟', 2)]","[6, 12, 2]",2,3,,,1,,,1,,6416
20260608_101526,2026-06-08T10:18:23.752207,15,1,2,trial_response,"[('⬡', 10), ('●', 14), ('◆', 8)]","[10, 14, 8]",3,3,,,1,,,1,,5112
20260608_101526,2026-06-08T10:18:31.202749,16,1,2,trial_response,"[('●', 5), ('★', 0), ('■', 1)]","[5, 0, 1]",0,3,,,1,,,1,,2632
20260608_101526,2026-06-08T10:18:34.303409,16,1,2,fatigue_report,,,,,,,,,,,2:Mildly Fatigued,
